Datetime,Close,High,Low,Open,Volume,H-L,H-PC,L-PC,TR,ATR,basic_upper,basic_lower,final_upper,final_lower,supertrend,trend
2026-01-23 09:25:00+00:00,25090.650390625,25106.150390625,25079.349609375,25079.349609375,0,26.80078125,29.099609375,2.298828125,29.099609375,30.06103552196937,25182.93310656591,25002.56689343409,25135.86713862968,25008.73365413413,25135.86713862968,-1.0
2026-01-23 09:30:00+00:00,25060.25,25096.0,25055.849609375,25093.900390625,0,40.150390625,5.349609375,34.80078125,40.150390625,31.069971032272434,25169.134717784316,24982.714891590684,25135.86713862968,25008.73365413413,25135.86713862968,-1.0
2026-01-23 09:35:00+00:00,25029.94921875,25061.05078125,25028.849609375,25060.55078125,0,32.201171875,0.80078125,31.400390625,32.201171875,31.183091116545192,25138.499468662136,24951.400921962864,25135.86713862968,25008.73365413413,25135.86713862968,-1.0
2026-01-23 09:40:00+00:00,25045.849609375,25048.69921875,25029.900390625,25031.900390625,0,18.798828125,18.75,0.048828125,18.798828125,29.944664817390674,25129.133799139672,24949.465810235328,25129.133799139672,25008.73365413413,25129.133799139672,-1.0
2026-01-23 09:45:00+00:00,25039.25,25062.849609375,25025.55078125,25046.5,0,37.298828125,17.0,20.298828125,37.298828125,30.680081148151608,25136.240438756955,24952.159951868045,25129.133799139672,25008.73365413413,25129.133799139672,-1.0
2026-01-23 09:50:00+00:00,25048.0,25049.80078125,25034.69921875,25040.849609375,0,15.1015625,10.55078125,4.55078125,15.1015625,29.12222928333645,25129.616687850008,24954.883312149992,25129.133799139672,25008.73365413413,25129.133799139672,-1.0
2026-01-23 09:55:00+00:00,25064.75,25074.5,25045.900390625,25049.599609375,0,28.599609375,26.5,2.099609375,28.599609375,29.069967292502803,25147.410097190008,24972.990293434992,25129.133799139672,25008.73365413413,25129.133799139672,-1.0
2026-01-27 03:45:00+00:00,25009.94921875,25123.44921875,25007.849609375,25079.0,0,115.599609375,58.69921875,56.900390625,115.599609375,37.72293150075252,25178.818208564757,24952.480619560243,25129.133799139672,25008.73365413413,25129.133799139672,-1.0
2026-01-27 03:50:00+00:00,24946.400390625,25008.69921875,24938.849609375,25007.5,0,69.849609375,1.25,71.099609375,71.099609375,41.06059928817727,25096.95621192703,24850.59261619797,25096.95621192703,25008.73365413413,25096.95621192703,-1.0
2026-01-27 03:55:00+00:00,24958.55078125,24970.69921875,24933.05078125,24946.30078125,0,37.6484375,24.298828125,13.349609375,37.6484375,40.71938310935954,25074.03314932808,24829.71685067192,25074.03314932808,24829.71685067192,25074.03314932808,-1.0
2026-01-27 04:00:00+00:00,24989.5,25000.19921875,24940.19921875,24958.400390625,0,60.0,41.6484375,18.3515625,60.0,42.647444798423585,25098.14155314527,24842.25688435473,25074.03314932808,24842.25688435473,25074.03314932808,-1.0
2026-01-27 04:05:00+00:00,25091.5,25095.150390625,24977.80078125,24989.94921875,0,117.349609375,105.650390625,11.69921875,117.349609375,50.11766125608123,25186.828569705744,24886.122602169256,25074.03314932808,24886.122602169256,24886.122602169256,1.0
2026-01-27 04:10:00+00:00,25147.599609375,25147.599609375,25064.75,25090.650390625,0,82.849609375,56.099609375,26.75,82.849609375,53.39085606797311,25266.347372891418,24946.002236483582,25266.347372891418,24946.002236483582,24946.002236483582,1.0
2026-01-27 04:15:00+00:00,25152.19921875,25160.44921875,25121.0,25148.80078125,0,39.44921875,12.849609375,26.599609375,39.44921875,51.9966923361758,25296.714686383526,24984.734532366474,25266.347372891418,24984.734532366474,24984.734532366474,1.0
2026-01-27 04:20:00+00:00,25137.25,25158.75,25126.400390625,25151.75,0,32.349609375,6.55078125,25.798828125,32.349609375,50.03198404005822,25292.671147432673,24992.479243192327,25266.347372891418,24992.479243192327,24992.479243192327,1.0
2026-01-27 04:25:00+00:00,25108.900390625,25141.30078125,25100.94921875,25139.05078125,0,40.3515625,4.05078125,36.30078125,40.3515625,49.0639418860524,25268.316825658156,24973.933174341844,25266.347372891418,24992.479243192327,24992.479243192327,1.0
2026-01-27 04:30:00+00:00,25130.30078125,25152.349609375,25111.0,25111.0,0,41.349609375,43.44921875,2.099609375,43.44921875,48.502469572447154,25277.18221340484,24986.16739597016,25266.347372891418,24992.479243192327,24992.479243192327,1.0
2026-01-27 04:35:00+00:00,25099.44921875,25133.19921875,25083.349609375,25130.19921875,0,49.849609375,2.8984375,46.951171875,49.849609375,48.63718355270244,25254.185964720607,24962.362863404393,25254.185964720607,24992.479243192327,24992.479243192327,1.0
2026-01-27 04:40:00+00:00,25128.44921875,25131.599609375,25086.900390625,25099.900390625,0,44.69921875,32.150390625,12.548828125,44.69921875,48.24338707243219,25253.980161217296,24964.519838782704,25253.980161217296,24992.479243192327,24992.479243192327,1.0
2026-01-27 04:45:00+00:00,25176.599609375,25184.0,25123.5,25129.349609375,0,60.5,55.55078125,4.94921875,60.5,49.46904836518897,25302.157145095567,25005.342854904433,25253.980161217296,25005.342854904433,25005.342854904433,1.0
2026-01-27 04:50:00+00:00,25161.55078125,25179.0,25158.400390625,25177.0,0,20.599609375,2.400390625,18.19921875,20.599609375,46.58210446617007,25308.44650871101,25028.95388191399,25253.980161217296,25028.95388191399,25028.95388191399,1.0
2026-01-27 04:55:00+00:00,25117.69921875,25172.349609375,25117.30078125,25161.19921875,0,55.048828125,10.798828125,44.25,55.048828125,47.42877683205307,25287.111525808657,25002.538864816343,25253.980161217296,25028.95388191399,25028.95388191399,1.0
2026-01-27 05:00:00+00:00,25128.650390625,25133.400390625,25105.75,25117.69921875,0,27.650390625,15.701171875,11.94921875,27.650390625,45.45093821134776,25255.928009946543,24983.222380678457,25253.980161217296,25028.95388191399,25028.95388191399,1.0
2026-01-27 05:05:00+00:00,25110.650390625,25131.55078125,25108.69921875,25128.30078125,0,22.8515625,2.900390625,19.951171875,22.8515625,43.191000640212984,25249.69800192064,24990.55199807936,25249.69800192064,25028.95388191399,25028.95388191399,1.0
2026-01-27 05:10:00+00:00,25030.0,25112.349609375,25019.69921875,25112.099609375,0,92.650390625,1.69921875,90.951171875,92.650390625,48.136939638691686,25210.435232978576,24921.613595146424,25210.435232978576,25028.95388191399,25028.95388191399,1.0
2026-01-27 05:15:00+00:00,25041.349609375,25044.75,25012.44921875,25028.849609375,0,32.30078125,14.75,17.55078125,32.30078125,46.553323799822515,25168.25958077447,24888.93963797553,25168.25958077447,25028.95388191399,25028.95388191399,1.0
2026-01-27 05:20:00+00:00,24994.69921875,25041.599609375,24979.19921875,25041.599609375,0,62.400390625,0.25,62.150390625,62.400390625,48.13803048234027,25154.81350550952,24865.98532261548,25154.81350550952,25028.95388191399,25154.81350550952,-1.0
2026-01-27 05:25:00+00:00,24983.25,25011.400390625,24979.05078125,24996.400390625,0,32.349609375,16.701171875,15.6484375,32.349609375,46.55918837160624,25134.90315105232,24855.54802082268,25134.90315105232,24855.54802082268,25134.90315105232,-1.0
2026-01-27 05:30:00+00:00,25011.05078125,25021.5,24980.0,24983.849609375,0,41.5,38.25,3.25,41.5,46.05326953444562,25138.909808603337,24862.590191396663,25134.90315105232,24862.590191396663,25134.90315105232,-1.0
2026-01-27 05:35:00+00:00,25019.25,25039.80078125,24994.05078125,25008.80078125,0,45.75,28.75,17.0,45.75,46.02294258100106,25154.994608993,24878.856953507,25134.90315105232,24878.856953507,25134.90315105232,-1.0
2026-01-27 05:40:00+00:00,25029.400390625,25030.30078125,25013.80078125,25019.94921875,0,16.5,11.05078125,5.44921875,16.5,43.07064832290096,25151.2627262187,24892.8388362813,25134.90315105232,24892.8388362813,25134.90315105232,-1.0
2026-01-27 05:45:00+00:00,25048.05078125,25057.099609375,25022.099609375,25029.05078125,0,35.0,27.69921875,7.30078125,35.0,42.26358349061086,25166.39035984683,24912.80885890317,25134.90315105232,24912.80885890317,25134.90315105232,-1.0
2026-01-27 05:50:00+00:00,25039.400390625,25064.849609375,25037.150390625,25049.80078125,0,27.69921875,16.798828125,10.900390625,27.69921875,40.80714701654978,25173.42144104965,24928.57855895035,25134.90315105232,24928.57855895035,25134.90315105232,-1.0
2026-01-27 05:55:00+00:00,25057.69921875,25066.650390625,25030.94921875,25038.650390625,0,35.701171875,27.25,8.451171875,35.701171875,40.296549502394804,25169.689453194685,24927.910156180315,25134.90315105232,24928.57855895035,25134.90315105232,-1.0
2026-01-27 06:00:00+00:00,25063.0,25084.80078125,25052.55078125,25057.75,0,32.25,27.1015625,5.1484375,32.25,39.49189455215532,25187.151464906467,24950.200097593533,25134.90315105232,24950.200097593533,25134.90315105232,-1.0
2026-01-27 06:05:00+00:00,25090.5,25091.650390625,25062.849609375,25063.0,0,28.80078125,28.650390625,0.150390625,28.80078125,38.42278322193979,25192.51834966582,24961.98165033418,25134.90315105232,24961.98165033418,25134.90315105232,-1.0
2026-01-27 06:10:00+00:00,25154.650390625,25157.849609375,25079.44921875,25091.0,0,78.400390625,67.349609375,11.05078125,78.400390625,42.420543962245816,25245.911045949237,24991.387782175763,25134.90315105232,24991.387782175763,24991.387782175763,1.0
2026-01-27 06:15:00+00:00,25108.150390625,25162.05078125,25107.75,25154.150390625,0,54.30078125,7.400390625,46.900390625,54.30078125,43.608567691021236,25265.726093698064,25004.074687551936,25265.726093698064,25004.074687551936,25004.074687551936,1.0
2026-01-27 06:20:00+00:00,25086.75,25109.69921875,25084.19921875,25109.400390625,0,25.5,1.548828125,23.951171875,25.5,41.79771092191911,25222.342351515756,24971.556085984244,25222.342351515756,25004.074687551936,25004.074687551936,1.0
2026-01-27 06:25:00+00:00,25103.650390625,25116.94921875,25083.599609375,25088.55078125,0,33.349609375,30.19921875,3.150390625,33.349609375,40.9529007672272,25223.13311636418,24977.41571176082,25222.342351515756,25004.074687551936,25004.074687551936,1.0
2026-01-27 06:30:00+00:00,25113.650390625,25131.80078125,25092.650390625,25104.0,0,39.150390625,28.150390625,11.0,39.150390625,40.77264975300448,25234.543535196513,24989.907636678487,25222.342351515756,25004.074687551936,25004.074687551936,1.0
2026-01-27 06:35:00+00:00,25115.25,25125.900390625,25114.150390625,25114.55078125,0,11.75,12.25,0.5,12.25,37.92038477770404,25233.78654495811,25006.26423629189,25222.342351515756,25006.26423629189,25006.26423629189,1.0
2026-01-27 06:40:00+00:00,25120.349609375,25137.650390625,25113.94921875,25116.25,0,23.701171875,22.400390625,1.30078125,23.701171875,36.49846348743363,25235.2951951498,25016.3044142252,25222.342351515756,25016.3044142252,25016.3044142252,1.0
2026-01-27 06:45:00+00:00,25091.94921875,25127.55078125,25091.25,25121.55078125,0,36.30078125,7.201171875,29.099609375,36.30078125,36.47869526369027,25218.836476416072,24999.964304833928,25218.836476416072,25016.3044142252,25016.3044142252,1.0
2026-01-27 06:50:00+00:00,25127.599609375,25135.5,25091.19921875,25092.0,0,44.30078125,43.55078125,0.75,44.30078125,37.26090386232124,25225.132320961962,25001.566897788038,25218.836476416072,25016.3044142252,25016.3044142252,1.0
